"","Human.Symbol","Homologene_ID","None","Mouse.Symbol","hg19","mm10"
"mm10_Cdca7","CDCA7",49970,"yes","Cdca7","hg19_CDCA7","mm10_Cdca7"
"mm10_Cdca7l","CDCA7L",10285,"yes","Cdca7l","hg19_CDCA7L","mm10_Cdca7l"
"mm10_Cdca8","CDCA8",23075,"yes","Cdca8","hg19_CDCA8","mm10_Cdca8"
"mm10_Cdcp1","CDCP1",11276,"yes","Cdcp1","hg19_CDCP1","mm10_Cdcp1"
"mm10_Cdcp2","CDCP2",138406,"yes","Cdcp2","hg19_CDCP2","mm10_Cdcp2"
"mm10_Cdh1","CDH1",20917,"yes","Cdh1","hg19_CDH1","mm10_Cdh1"
"mm10_Cdh10","CDH10",68530,"yes","Cdh10","hg19_CDH10","mm10_Cdh10"
"mm10_Cdh11","CDH11",1361,"yes","Cdh11","hg19_CDH11","mm10_Cdh11"
"mm10_Cdh12","CDH12",37873,"yes","Cdh12","hg19_CDH12","mm10_Cdh12"
"mm10_Cdh13","CDH13",20335,"yes","Cdh13","hg19_CDH13","mm10_Cdh13"
"mm10_Cdh15","CDH15",3622,"yes","Cdh15","hg19_CDH15","mm10_Cdh15"
"mm10_Cdh16","CDH16",2997,"yes","Cdh16","hg19_CDH16","mm10_Cdh16"
"mm10_Cdh17","CDH17",56859,"yes","Cdh17","hg19_CDH17","mm10_Cdh17"
"mm10_Cdh18","CDH18",55858,"yes","Cdh18","hg19_CDH18","mm10_Cdh18"
"mm10_Cdh19","CDH19",23286,"yes","Cdh19","hg19_CDH19","mm10_Cdh19"
"mm10_Cdh2","CDH2",20424,"yes","Cdh2","hg19_CDH2","mm10_Cdh2"
"mm10_Cdh20","CDH20",8015,"yes","Cdh20","hg19_CDH20","mm10_Cdh20"
"mm10_Cdh22","CDH22",23148,"yes","Cdh22","hg19_CDH22","mm10_Cdh22"
"mm10_Cdh23","CDH23",11142,"yes","Cdh23","hg19_CDH23","mm10_Cdh23"
"mm10_Cdh24","CDH24",56951,"yes","Cdh24","hg19_CDH24","mm10_Cdh24"
"mm10_Cdh26","CDH26",18643,"yes","Cdh26","hg19_CDH26","mm10_Cdh26"
"mm10_Cdh3","CDH3",20425,"yes","Cdh3","hg19_CDH3","mm10_Cdh3"
"mm10_Cdh4","CDH4",48044,"yes","Cdh4","hg19_CDH4","mm10_Cdh4"
"mm10_Cdh5","CDH5",1359,"yes","Cdh5","hg19_CDH5","mm10_Cdh5"
"mm10_Cdh6","CDH6",21027,"yes","Cdh6","hg19_CDH6","mm10_Cdh6"
"mm10_Cdh7","CDH7",68391,"yes","Cdh7","hg19_CDH7","mm10_Cdh7"
"mm10_Cdh8","CDH8",55604,"yes","Cdh8","hg19_CDH8","mm10_Cdh8"
"mm10_Cdh9","CDH9",9450,"yes","Cdh9","hg19_CDH9","mm10_Cdh9"
"mm10_Cdhr1","CDHR1",13215,"yes","Cdhr1","hg19_CDHR1","mm10_Cdhr1"
"mm10_Cdhr2","CDHR2",134510,"yes","Cdhr2","hg19_CDHR2","mm10_Cdhr2"
"mm10_Cdhr3","CDHR3",45146,"yes","Cdhr3","hg19_CDHR3","mm10_Cdhr3"
"mm10_Cdhr4","CDHR4",82362,"yes","Cdhr4","hg19_CDHR4","mm10_Cdhr4"
"mm10_Cdhr5","CDHR5",69345,"yes","Cdhr5","hg19_CDHR5","mm10_Cdhr5"
"mm10_Cdip1","CDIP1",40879,"yes","Cdip1","hg19_CDIP1","mm10_Cdip1"
"mm10_Cdipt","CDIPT",7159,"yes","Cdipt","hg19_CDIPT","mm10_Cdipt"
"mm10_Cdiptos","CDIPTOSP",NA,"yes","Cdiptos","hg19_CDIPTOSP","mm10_Cdiptos"
"mm10_Cdk1","CDK1",68203,"yes","Cdk1","hg19_CDK1","mm10_Cdk1"
"mm10_Cdk10","CDK10",55769,"yes","Cdk10","hg19_CDK10","mm10_Cdk10"
"mm10_Cdk11b","CDK11B",22416,"yes","Cdk11b","hg19_CDK11B","mm10_Cdk11b"
"mm10_Cdk12","CDK12",128632,"yes","Cdk12","hg19_CDK12","mm10_Cdk12"
"mm10_Cdk13","CDK13",135707,"yes","Cdk13","hg19_CDK13","mm10_Cdk13"
"mm10_Cdk14","CDK14",7888,"yes","Cdk14","hg19_CDK14","mm10_Cdk14"
"mm10_Cdk15","CDK15",64641,"yes","Cdk15","hg19_CDK15","mm10_Cdk15"
"mm10_Cdk16","CDK16",7878,"yes","Cdk16","hg19_CDK16","mm10_Cdk16"
"mm10_Cdk17","CDK17",55666,"yes","Cdk17","hg19_CDK17","mm10_Cdk17"
"mm10_Cdk18","CDK18",1949,"yes","Cdk18","hg19_CDK18","mm10_Cdk18"
"mm10_Cdk19","CDK19",22862,"yes","Cdk19","hg19_CDK19","mm10_Cdk19"
"mm10_Cdk2","CDK2",74409,"yes","Cdk2","hg19_CDK2","mm10_Cdk2"
"mm10_Cdk20","CDK20",8109,"yes","Cdk20","hg19_CDK20","mm10_Cdk20"
"mm10_Cdk2ap1","CDK2AP1",3411,"yes","Cdk2ap1","hg19_CDK2AP1","mm10_Cdk2ap1"
"mm10_Cdk2ap2","CDK2AP2",4272,"yes","Cdk2ap2","hg19_CDK2AP2","mm10_Cdk2ap2"
"mm10_Cdk3-ps","CDK3",NA,"yes","Cdk3-ps","hg19_CDK3","mm10_Cdk3-ps"
"mm10_Cdk4","CDK4",55429,"yes","Cdk4","hg19_CDK4","mm10_Cdk4"
"mm10_Cdk5","CDK5",3623,"yes","Cdk5","hg19_CDK5","mm10_Cdk5"
"mm10_Cdk5r1","CDK5R1",31200,"yes","Cdk5r1","hg19_CDK5R1","mm10_Cdk5r1"
"mm10_Cdk5r2","CDK5R2",2924,"yes","Cdk5r2","hg19_CDK5R2","mm10_Cdk5r2"
"mm10_Cdk5rap1","CDK5RAP1",9502,"yes","Cdk5rap1","hg19_CDK5RAP1","mm10_Cdk5rap1"
"mm10_Cdk5rap2","CDK5RAP2",49533,"yes","Cdk5rap2","hg19_CDK5RAP2","mm10_Cdk5rap2"
"mm10_Cdk5rap3","CDK5RAP3",12718,"yes","Cdk5rap3","hg19_CDK5RAP3","mm10_Cdk5rap3"
"mm10_Cdk6","CDK6",963,"yes","Cdk6","hg19_CDK6","mm10_Cdk6"
"mm10_Cdk7","CDK7",1363,"yes","Cdk7","hg19_CDK7","mm10_Cdk7"
"mm10_Cdk8","CDK8",55565,"yes","Cdk8","hg19_CDK8","mm10_Cdk8"
"mm10_Cdk9","CDK9",55566,"yes","Cdk9","hg19_CDK9","mm10_Cdk9"
"mm10_Cdkal1","CDKAL1",9830,"yes","Cdkal1","hg19_CDKAL1","mm10_Cdkal1"
"mm10_Cdkl1","CDKL1",55805,"yes","Cdkl1","hg19_CDKL1","mm10_Cdkl1"
"mm10_Cdkl2","CDKL2",55793,"yes","Cdkl2","hg19_CDKL2","mm10_Cdkl2"
"mm10_Cdkl3","CDKL3",49467,"yes","Cdkl3","hg19_CDKL3","mm10_Cdkl3"
"mm10_Cdkl4","CDKL4",28725,"yes","Cdkl4","hg19_CDKL4","mm10_Cdkl4"
"mm10_Cdkl5","CDKL5",55719,"yes","Cdkl5","hg19_CDKL5","mm10_Cdkl5"
"mm10_Cdkn1a","CDKN1A",333,"yes","Cdkn1a","hg19_CDKN1A","mm10_Cdkn1a"
"mm10_Cdkn1b","CDKN1B",2999,"yes","Cdkn1b","hg19_CDKN1B","mm10_Cdkn1b"
"mm10_Cdkn1c","CDKN1C",134519,"yes","Cdkn1c","hg19_CDKN1C","mm10_Cdkn1c"
"mm10_Cdkn2a","CDKN2A",55430,"yes","Cdkn2a","hg19_CDKN2A","mm10_Cdkn2a"
"mm10_Cdkn2aip","CDKN2AIP",9752,"yes","Cdkn2aip","hg19_CDKN2AIP","mm10_Cdkn2aip"
"mm10_Cdkn2aipnl","CDKN2AIPNL",12684,"yes","Cdkn2aipnl","hg19_CDKN2AIPNL","mm10_Cdkn2aipnl"
"mm10_Cdkn2b","CDKN2B",55859,"yes","Cdkn2b","hg19_CDKN2B","mm10_Cdkn2b"
"mm10_Cdkn2c","CDKN2C",966,"yes","Cdkn2c","hg19_CDKN2C","mm10_Cdkn2c"
"mm10_Cdkn2d","CDKN2D",36081,"yes","Cdkn2d","hg19_CDKN2D","mm10_Cdkn2d"
"mm10_Cdkn3","CDKN3",3805,"yes","Cdkn3","hg19_CDKN3","mm10_Cdkn3"
"mm10_Cdnf","CDNF",27965,"yes","Cdnf","hg19_CDNF","mm10_Cdnf"
"mm10_Cdo1","CDO1",1365,"yes","Cdo1","hg19_CDO1","mm10_Cdo1"
"mm10_Cdon","CDON",22996,"yes","Cdon","hg19_CDON","mm10_Cdon"
"mm10_Cdpf1","CDPF1",45673,"yes","Cdpf1","hg19_CDPF1","mm10_Cdpf1"
"mm10_Cdr2","CDR2",7262,"yes","Cdr2","hg19_CDR2","mm10_Cdr2"
"mm10_Cdr2l","CDR2L",35390,"yes","Cdr2l","hg19_CDR2L","mm10_Cdr2l"
"mm10_Cdrt4","CDRT4",52147,"yes","Cdrt4","hg19_CDRT4","mm10_Cdrt4"
"mm10_Cds1","CDS1",68173,"yes","Cds1","hg19_CDS1","mm10_Cds1"
"mm10_Cds2","CDS2",37854,"yes","Cds2","hg19_CDS2","mm10_Cds2"
"mm10_Cdsn","CDSN",NA,"yes","Cdsn","hg19_CDSN","mm10_Cdsn"
"mm10_Cdt1","CDT1",32650,"yes","Cdt1","hg19_CDT1","mm10_Cdt1"
"mm10_Cdv3","CDV3",133862,"yes","Cdv3","hg19_CDV3","mm10_Cdv3"
"mm10_Cdx1","CDX1",1366,"yes","Cdx1","hg19_CDX1","mm10_Cdx1"
"mm10_Cdx2","CDX2",968,"yes","Cdx2","hg19_CDX2","mm10_Cdx2"
"mm10_Cdx4","CDX4",3806,"yes","Cdx4","hg19_CDX4","mm10_Cdx4"
"mm10_Cdyl","CDYL",3548,"yes","Cdyl","hg19_CDYL","mm10_Cdyl"
"mm10_Cdyl2","CDYL2",41779,"yes","Cdyl2","hg19_CDYL2","mm10_Cdyl2"
"mm10_Ceacam1","CEACAM1",128630,"yes","Ceacam1","hg19_CEACAM1","mm10_Ceacam1"
"mm10_Ceacam16","CEACAM16",19857,"yes","Ceacam16","hg19_CEACAM16","mm10_Ceacam16"
"mm10_Ceacam18","CEACAM18",48111,"yes","Ceacam18","hg19_CEACAM18","mm10_Ceacam18"
"mm10_Ceacam19","CEACAM19",49621,"yes","Ceacam19","hg19_CEACAM19","mm10_Ceacam19"
"mm10_Ceacam20","CEACAM20",19010,"yes","Ceacam20","hg19_CEACAM20","mm10_Ceacam20"
"mm10_Cebpa","CEBPA",3211,"yes","Cebpa","hg19_CEBPA","mm10_Cebpa"
"mm10_Cebpb","CEBPB",3807,"yes","Cebpb","hg19_CEBPB","mm10_Cebpb"
"mm10_Cebpd","CEBPD",3808,"yes","Cebpd","hg19_CEBPD","mm10_Cebpd"
"mm10_Cebpe","CEBPE",1367,"yes","Cebpe","hg19_CEBPE","mm10_Cebpe"
"mm10_Cebpg","CEBPG",1368,"yes","Cebpg","hg19_CEBPG","mm10_Cebpg"
"mm10_Cebpz","CEBPZ",4210,"yes","Cebpz","hg19_CEBPZ","mm10_Cebpz"
"mm10_Cebpzos","CEBPZOS",NA,"yes","Cebpzos","hg19_CEBPZOS","mm10_Cebpzos"
"mm10_Cecr2","CECR2",64662,"yes","Cecr2","hg19_CECR2","mm10_Cecr2"
"mm10_Cel","CEL",37529,"yes","Cel","hg19_CEL","mm10_Cel"
"mm10_Cela1","CELA1",20454,"yes","Cela1","hg19_CELA1","mm10_Cela1"
"mm10_Cela2a","CELA2A",40598,"yes","Cela2a","hg19_CELA2A","mm10_Cela2a"
"mm10_Cela3a","CELA3A",129880,"yes","Cela3a","hg19_CELA3A","mm10_Cela3a"
"mm10_Cela3b","CELA3B",128227,"yes","Cela3b","hg19_CELA3B","mm10_Cela3b"
"mm10_Celf1","CELF1",134102,"yes","Celf1","hg19_CELF1","mm10_Celf1"
"mm10_Celf2","CELF2",4783,"yes","Celf2","hg19_CELF2","mm10_Celf2"
"mm10_Celf3","CELF3",48510,"yes","Celf3","hg19_CELF3","mm10_Celf3"
"mm10_Celf4","CELF4",23202,"yes","Celf4","hg19_CELF4","mm10_Celf4"
"mm10_Celf5","CELF5",75172,"yes","Celf5","hg19_CELF5","mm10_Celf5"
"mm10_Celf6","CELF6",129318,"yes","Celf6","hg19_CELF6","mm10_Celf6"
"mm10_Celsr1","CELSR1",7665,"yes","Celsr1","hg19_CELSR1","mm10_Celsr1"
"mm10_Celsr2","CELSR2",1078,"yes","Celsr2","hg19_CELSR2","mm10_Celsr2"
"mm10_Celsr3","CELSR3",1077,"yes","Celsr3","hg19_CELSR3","mm10_Celsr3"
"mm10_Cemip","CEMIP",10268,"yes","Cemip","hg19_CEMIP","mm10_Cemip"
"mm10_Cemip2","CEMIP2",75008,"yes","Cemip2","hg19_CEMIP2","mm10_Cemip2"
"mm10_Cend1","CEND1",137316,"yes","Cend1","hg19_CEND1","mm10_Cend1"
"mm10_Cenpa","CENPA",1369,"yes","Cenpa","hg19_CENPA","mm10_Cenpa"
"mm10_Cenpb","CENPB",1370,"yes","Cenpb","hg19_CENPB","mm10_Cenpb"
"mm10_Cenpc1","CENPC",1371,"yes","Cenpc1","hg19_CENPC","mm10_Cenpc1"
"mm10_Cenpe","CENPE",20429,"yes","Cenpe","hg19_CENPE","mm10_Cenpe"
"mm10_Cenpf","CENPF",22969,"yes","Cenpf","hg19_CENPF","mm10_Cenpf"
"mm10_Cenph","CENPH",32519,"yes","Cenph","hg19_CENPH","mm10_Cenph"
"mm10_Cenpi","CENPI",4899,"yes","Cenpi","hg19_CENPI","mm10_Cenpi"
"mm10_Cenpj","CENPJ",10204,"yes","Cenpj","hg19_CENPJ","mm10_Cenpj"
"mm10_Cenpk","CENPK",11035,"yes","Cenpk","hg19_CENPK","mm10_Cenpk"
"mm10_Cenpl","CENPL",19618,"yes","Cenpl","hg19_CENPL","mm10_Cenpl"
"mm10_Cenpm","CENPM",11438,"yes","Cenpm","hg19_CENPM","mm10_Cenpm"
"mm10_Cenpn","CENPN",12450,"yes","Cenpn","hg19_CENPN","mm10_Cenpn"
"mm10_Cenpo","CENPO",49760,"yes","Cenpo","hg19_CENPO","mm10_Cenpo"
"mm10_Cenpp","CENPP",23543,"yes","Cenpp","hg19_CENPP","mm10_Cenpp"
"mm10_Cenpq","CENPQ",49525,"yes","Cenpq","hg19_CENPQ","mm10_Cenpq"
"mm10_Cenps","CENPS",66004,"yes","Cenps","hg19_CENPS","mm10_Cenps"
"mm10_Cenpt","CENPT",41610,"yes","Cenpt","hg19_CENPT","mm10_Cenpt"
"mm10_Cenpu","CENPU",11629,"yes","Cenpu","hg19_CENPU","mm10_Cenpu"
"mm10_Cenpv","CENPV",42965,"yes","Cenpv","hg19_CENPV","mm10_Cenpv"
"mm10_Cenpw","CENPW",84642,"yes","Cenpw","hg19_CENPW","mm10_Cenpw"
"mm10_Cenpx","CENPX",88844,"yes","Cenpx","hg19_CENPX","mm10_Cenpx"
"mm10_Cep104","CEP104",44919,"yes","Cep104","hg19_CEP104","mm10_Cep104"
"mm10_Cep112","CEP112",44915,"yes","Cep112","hg19_CEP112","mm10_Cep112"
"mm10_Cep120","CEP120",27415,"yes","Cep120","hg19_CEP120","mm10_Cep120"
"mm10_Cep126","CEP126",28313,"yes","Cep126","hg19_CEP126","mm10_Cep126"
"mm10_Cep128","CEP128",35315,"yes","Cep128","hg19_CEP128","mm10_Cep128"
"mm10_Cep131","CEP131",7638,"yes","Cep131","hg19_CEP131","mm10_Cep131"
"mm10_Cep135","CEP135",45709,"yes","Cep135","hg19_CEP135","mm10_Cep135"
"mm10_Cep152","CEP152",37159,"yes","Cep152","hg19_CEP152","mm10_Cep152"
"mm10_Cep162","CEP162",8930,"yes","Cep162","hg19_CEP162","mm10_Cep162"
"mm10_Cep164","CEP164",51110,"yes","Cep164","hg19_CEP164","mm10_Cep164"
"mm10_Cep170","CEP170",22844,"yes","Cep170","hg19_CEP170","mm10_Cep170"
"mm10_Cep170b","CEP170B",46165,"yes","Cep170b","hg19_CEP170B","mm10_Cep170b"
"mm10_Cep19","CEP19",12065,"yes","Cep19","hg19_CEP19","mm10_Cep19"
"mm10_Cep192","CEP192",73526,"yes","Cep192","hg19_CEP192","mm10_Cep192"
"mm10_Cep250","CEP250",38286,"yes","Cep250","hg19_CEP250","mm10_Cep250"
"mm10_Cep290","CEP290",77213,"yes","Cep290","hg19_CEP290","mm10_Cep290"
"mm10_Cep295","CEP295",27936,"yes","Cep295","hg19_CEP295","mm10_Cep295"
"mm10_Cep295nl","CEP295NL",75164,"yes","Cep295nl","hg19_CEP295NL","mm10_Cep295nl"
"mm10_Cep350","CEP350",8879,"yes","Cep350","hg19_CEP350","mm10_Cep350"
"mm10_Cep41","CEP41",10284,"yes","Cep41","hg19_CEP41","mm10_Cep41"
"mm10_Cep44","CEP44",12738,"yes","Cep44","hg19_CEP44","mm10_Cep44"
"mm10_Cep55","CEP55",10019,"yes","Cep55","hg19_CEP55","mm10_Cep55"
"mm10_Cep57","CEP57",8790,"yes","Cep57","hg19_CEP57","mm10_Cep57"
"mm10_Cep57l1","CEP57L1",12254,"yes","Cep57l1","hg19_CEP57L1","mm10_Cep57l1"
"mm10_Cep63","CEP63",11861,"yes","Cep63","hg19_CEP63","mm10_Cep63"
"mm10_Cep68","CEP68",65235,"yes","Cep68","hg19_CEP68","mm10_Cep68"
"mm10_Cep70","CEP70",11387,"yes","Cep70","hg19_CEP70","mm10_Cep70"
"mm10_Cep72","CEP72",10027,"yes","Cep72","hg19_CEP72","mm10_Cep72"
"mm10_Cep76","CEP76",11774,"yes","Cep76","hg19_CEP76","mm10_Cep76"
"mm10_Cep78","CEP78",11030,"yes","Cep78","hg19_CEP78","mm10_Cep78"
"mm10_Cep83","CEP83",9396,"yes","Cep83","hg19_CEP83","mm10_Cep83"
"mm10_Cep85","CEP85",11254,"yes","Cep85","hg19_CEP85","mm10_Cep85"
"mm10_Cep85l","CEP85L",52598,"yes","Cep85l","hg19_CEP85L","mm10_Cep85l"
"mm10_Cep89","CEP89",12444,"yes","Cep89","hg19_CEP89","mm10_Cep89"
"mm10_Cep95","CEP95",16297,"yes","Cep95","hg19_CEP95","mm10_Cep95"
"mm10_Cep97","CEP97",11579,"yes","Cep97","hg19_CEP97","mm10_Cep97"
"mm10_Cept1","CEPT1",81624,"yes","Cept1","hg19_CEPT1","mm10_Cept1"
"mm10_Cer1","CER1",3983,"yes","Cer1","hg19_CER1","mm10_Cer1"
"mm10_Cercam","CERCAM",22954,"yes","Cercam","hg19_CERCAM","mm10_Cercam"
"mm10_Cerk","CERK",11247,"yes","Cerk","hg19_CERK","mm10_Cerk"
"mm10_Cerkl","CERKL",52396,"yes","Cerkl","hg19_CERKL","mm10_Cerkl"
"mm10_Cers1","CERS1",128762,"yes","Cers1","hg19_CERS1","mm10_Cers1"
"mm10_Cers2","CERS2",39581,"yes","Cers2","hg19_CERS2","mm10_Cers2"
"mm10_Cers3","CERS3",18719,"yes","Cers3","hg19_CERS3","mm10_Cers3"
"mm10_Cers4","CERS4",11582,"yes","Cers4","hg19_CERS4","mm10_Cers4"
"mm10_Cers5","CERS5",23634,"yes","Cers5","hg19_CERS5","mm10_Cers5"
"mm10_Cers6","CERS6",72228,"yes","Cers6","hg19_CERS6","mm10_Cers6"
"mm10_Ces1a","CES1",134142,"yes","Ces1a","hg19_CES1","mm10_Ces1a"
"mm10_Ces2a","CES2",136396,"yes","Ces2a","hg19_CES2","mm10_Ces2a"
"mm10_Ces3a","CES3",84407,"yes","Ces3a","hg19_CES3","mm10_Ces3a"
"mm10_Ces4a","CES4A",71949,"yes","Ces4a","hg19_CES4A","mm10_Ces4a"
"mm10_Ces5a","CES5A",74305,"yes","Ces5a","hg19_CES5A","mm10_Ces5a"
"mm10_Cetn1","CETN1",105668,"yes","Cetn1","hg19_CETN1","mm10_Cetn1"
"mm10_Cetn2","CETN2",55798,"yes","Cetn2","hg19_CETN2","mm10_Cetn2"
"mm10_Cetn3","CETN3",74521,"yes","Cetn3","hg19_CETN3","mm10_Cetn3"
"mm10_Cetn4","CETN4P",138302,"yes","Cetn4","hg19_CETN4P","mm10_Cetn4"
"mm10_Cfap100","CFAP100",18456,"yes","Cfap100","hg19_CFAP100","mm10_Cfap100"
"mm10_Cfap126","CFAP126",23682,"yes","Cfap126","hg19_CFAP126","mm10_Cfap126"
"mm10_Cfap157","CFAP157",53056,"yes","Cfap157","hg19_CFAP157","mm10_Cfap157"
"mm10_Cfap161","CFAP161",12605,"yes","Cfap161","hg19_CFAP161","mm10_Cfap161"
"mm10_Cfap20","CFAP20",7350,"yes","Cfap20","hg19_CFAP20","mm10_Cfap20"
"mm10_Cfap206","CFAP206",18713,"yes","Cfap206","hg19_CFAP206","mm10_Cfap206"
"mm10_Cfap221","CFAP221",88578,"yes","Cfap221","hg19_CFAP221","mm10_Cfap221"
"mm10_Cfap298","CFAP298",10941,"yes","Cfap298","hg19_CFAP298","mm10_Cfap298"
"mm10_Cfap299","CFAP299",51893,"yes","Cfap299","hg19_CFAP299","mm10_Cfap299"
"mm10_Cfap300","CFAP300",13163,"yes","Cfap300","hg19_CFAP300","mm10_Cfap300"
"mm10_Cfap36","CFAP36",41646,"yes","Cfap36","hg19_CFAP36","mm10_Cfap36"
"mm10_1810043G02Rik","CFAP410",3619,"yes","1810043G02Rik","hg19_CFAP410","mm10_1810043G02Rik"
"mm10_Cfap43","CFAP43",36425,"yes","Cfap43","hg19_CFAP43","mm10_Cfap43"
"mm10_Cfap44","CFAP44",75085,"yes","Cfap44","hg19_CFAP44","mm10_Cfap44"
"mm10_Cfap45","CFAP45",71837,"yes","Cfap45","hg19_CFAP45","mm10_Cfap45"
"mm10_Cfap46","CFAP46",NA,"yes","Cfap46","hg19_CFAP46","mm10_Cfap46"
"mm10_Cfap47","CFAP47",NA,"yes","Cfap47","hg19_CFAP47","mm10_Cfap47"
"mm10_Cfap52","CFAP52",12416,"yes","Cfap52","hg19_CFAP52","mm10_Cfap52"
"mm10_Cfap53","CFAP53",27056,"yes","Cfap53","hg19_CFAP53","mm10_Cfap53"
"mm10_Cfap54","CFAP54",133438,"yes","Cfap54","hg19_CFAP54","mm10_Cfap54"
"mm10_Cfap57","CFAP57",51350,"yes","Cfap57","hg19_CFAP57","mm10_Cfap57"
"mm10_Cfap58","CFAP58",77312,"yes","Cfap58","hg19_CFAP58","mm10_Cfap58"
"mm10_Cfap61","CFAP61",NA,"yes","Cfap61","hg19_CFAP61","mm10_Cfap61"
"mm10_Cfap65","CFAP65",28093,"yes","Cfap65","hg19_CFAP65","mm10_Cfap65"
"mm10_Cfap69","CFAP69",11718,"yes","Cfap69","hg19_CFAP69","mm10_Cfap69"
"mm10_Cfap70","CFAP70",17048,"yes","Cfap70","hg19_CFAP70","mm10_Cfap70"
"mm10_Cfap73","CFAP73",53205,"yes","Cfap73","hg19_CFAP73","mm10_Cfap73"
"mm10_Cfap74","CFAP74",129584,"yes","Cfap74","hg19_CFAP74","mm10_Cfap74"
"mm10_Cfap77","CFAP77",45813,"yes","Cfap77","hg19_CFAP77","mm10_Cfap77"
"mm10_Cfap97","CFAP97",12026,"yes","Cfap97","hg19_CFAP97","mm10_Cfap97"
"mm10_Cfap97d1","CFAP97D1",19137,"yes","Cfap97d1","hg19_CFAP97D1","mm10_Cfap97d1"
"mm10_Cfap97d2","CFAP97D2",NA,"yes","Cfap97d2","hg19_CFAP97D2","mm10_Cfap97d2"
"mm10_Cfap99","CFAP99",82544,"yes","Cfap99","hg19_CFAP99","mm10_Cfap99"
"mm10_Cfb","CFB",1292,"yes","Cfb","hg19_CFB","mm10_Cfb"
"mm10_Cfc1","CFC1",50007,"yes","Cfc1","hg19_CFC1","mm10_Cfc1"
"mm10_Cfd","CFD",20453,"yes","Cfd","hg19_CFD","mm10_Cfd"
"mm10_Cfdp1","CFDP1",4611,"yes","Cfdp1","hg19_CFDP1","mm10_Cfdp1"
"mm10_Cfh","CFH",20086,"yes","Cfh","hg19_CFH","mm10_Cfh"
"mm10_Cfhr1","CFHR1",55632,"yes","Cfhr1","hg19_CFHR1","mm10_Cfhr1"
"mm10_Cfi","CFI",171,"yes","Cfi","hg19_CFI","mm10_Cfi"
"mm10_Cfl1","CFL1",99735,"yes","Cfl1","hg19_CFL1","mm10_Cfl1"
"mm10_Cfl2","CFL2",129115,"yes","Cfl2","hg19_CFL2","mm10_Cfl2"
"mm10_Cflar","CFLAR",7652,"yes","Cflar","hg19_CFLAR","mm10_Cflar"
"mm10_Cfm1","CFM1",NA,"yes","Cfm1","hg19_CFM1","mm10_Cfm1"
"mm10_Cfp","CFP",1969,"yes","Cfp","hg19_CFP","mm10_Cfp"
"mm10_Cftr","CFTR",55465,"yes","Cftr","hg19_CFTR","mm10_Cftr"
"mm10_Cga","CGA",587,"yes","Cga","hg19_CGA","mm10_Cga"
"mm10_Cgas","CGAS",51384,"yes","Cgas","hg19_CGAS","mm10_Cgas"
"mm10_Cggbp1","CGGBP1",2718,"yes","Cggbp1","hg19_CGGBP1","mm10_Cggbp1"
"mm10_Cgn","CGN",41394,"yes","Cgn","hg19_CGN","mm10_Cgn"
"mm10_Cgnl1","CGNL1",41901,"yes","Cgnl1","hg19_CGNL1","mm10_Cgnl1"
"mm10_Cgref1","CGREF1",4790,"yes","Cgref1","hg19_CGREF1","mm10_Cgref1"
"mm10_Cgrrf1","CGRRF1",4789,"yes","Cgrrf1","hg19_CGRRF1","mm10_Cgrrf1"
"mm10_Ch25h","CH25H",2942,"yes","Ch25h","hg19_CH25H","mm10_Ch25h"
"mm10_Chac1","CHAC1",11470,"yes","Chac1","hg19_CHAC1","mm10_Chac1"
"mm10_Chac2","CHAC2",48696,"yes","Chac2","hg19_CHAC2","mm10_Chac2"
"mm10_Chad","CHAD",36063,"yes","Chad","hg19_CHAD","mm10_Chad"
"mm10_Chadl","CHADL",130044,"yes","Chadl","hg19_CHADL","mm10_Chadl"
"mm10_Chaer1","CHAER1",NA,"yes","Chaer1","hg19_CHAER1","mm10_Chaer1"
"mm10_Chaf1a","CHAF1A",4003,"yes","Chaf1a","hg19_CHAF1A","mm10_Chaf1a"
"mm10_Chaf1b","CHAF1B",48346,"yes","Chaf1b","hg19_CHAF1B","mm10_Chaf1b"
"mm10_Champ1","CHAMP1",18780,"yes","Champ1","hg19_CHAMP1","mm10_Champ1"
"mm10_Chat","CHAT",40693,"yes","Chat","hg19_CHAT","mm10_Chat"
"mm10_Chchd1","CHCHD1",11923,"yes","Chchd1","hg19_CHCHD1","mm10_Chchd1"
"mm10_Chchd10","CHCHD10",27885,"yes","Chchd10","hg19_CHCHD10","mm10_Chchd10"
"mm10_Chchd2","CHCHD2",49449,"yes","Chchd2","hg19_CHCHD2","mm10_Chchd2"
"mm10_Chchd3","CHCHD3",9851,"yes","Chchd3","hg19_CHCHD3","mm10_Chchd3"
"mm10_Chchd4","CHCHD4",14846,"yes","Chchd4","hg19_CHCHD4","mm10_Chchd4"
"mm10_Chchd5","CHCHD5",11929,"yes","Chchd5","hg19_CHCHD5","mm10_Chchd5"
"mm10_Chchd6","CHCHD6",11920,"yes","Chchd6","hg19_CHCHD6","mm10_Chchd6"
"mm10_Chchd7","CHCHD7",41558,"yes","Chchd7","hg19_CHCHD7","mm10_Chchd7"
"mm10_Chd1","CHD1",68174,"yes","Chd1","hg19_CHD1","mm10_Chd1"
"mm10_Chd1l","CHD1L",11590,"yes","Chd1l","hg19_CHD1L","mm10_Chd1l"
"mm10_Chd2","CHD2",37462,"yes","Chd2","hg19_CHD2","mm10_Chd2"
